Code,latlng,place,name,lyric,artist,lyrics,year
,,銅鑼灣,飛車,北角 銅鑼灣 灣仔 中環 金鐘 尖沙咀 油麻地 旺角 太子 九龍塘 沙田 上水 羅湖 深圳 廣州 廈門 台北 福州 南京 上海 北京 中環,羅大佑,林夕,1992
,"22.27869889930365, 114.18222244674271",銅鑼灣,迪士尼見,明明銅鑼灣 點解我女友,Boy'z,周耀輝,2004
,"22.279851, 114.185493",銅鑼灣,無瑕年代,這年七月銅鑼灣堆滿人群,藍奕邦,王貽興 ,2005
,"22.280060, 114.183028",銅鑼灣,我們的電車上,看 這銅鑼灣璀璨,C AllStar,鍾晴,2010
,"22.280195, 114.181708",銅鑼灣,食煙飲酒講粗口,晚晚銅鑼灣劈上老蘭,林海峰、G.E.M.鄧紫棋,林海峰,2009
,"22.280952973309056, 114.18943903441529",銅鑼灣,念銅鑼,銅鑼若在這裡  敲響給我節哀,羽翹,小克,2011
,"22.279195876724312, 114.18609351730318",銅鑼灣,勁浪漫 超溫馨,銅鑼灣夠有 五十隻綠茶,Gareth T.,黃偉文,2022
,"22.282539, 114.183713",怡和禮炮,念銅鑼,怡和禮炮不肯禮待,羽翹,小克,2011
,"22.277452, 114.183045",禮頓中心,念銅鑼,誰料禮頓中心碎已沒法再愛,羽翹,小克,2011
,"22.280851, 114.185512",大丸,念銅鑼,讓心聲留在  大丸的福袋,羽翹,小克,2011
,"22.282629, 114.188053",維園,浪漫時代,維園內 仍給舊日覆蓋,吳浩康,吳倩怡  ,2007
,"22.285404, 114.190613",維園道,念銅鑼,維園道這夜晚  燈飾可會再開,羽翹,小克,2011
,,灣仔,飛車,北角 銅鑼灣 灣仔 中環 金鐘 尖沙咀 油麻地 旺角 太子 九龍塘 沙田 上水 羅湖 深圳 廣州 廈門 台北 福州 南京 上海 北京 中環,羅大佑,林夕,1992
,"22.281242990908094, 114.17447779440103",灣仔,灣仔Jonny,灣仔嘅Johnny,仙杜拉,仙杜拉,1980
,"22.283364458661808, 114.17432332433883",灣仔海傍,香港地,灣仔海旁尖東海旁,陳冠希 Feat.陳奐仁 胡蓓蔚 Mc仁,Mc仁、陳少琪、陳奐仁,2004
,"22.279311526865282, 114.17375446358064",灣仔,It's My Party,尖東我的 灣仔我的 統統我的 統統我想的,達明一派,周耀輝,2012
,"22.27895256859967, 114.17318694284218",灣仔,阿茲與海默,逛過灣仔 再到教堂,黎曉陽,王樂儀 ,2020
,"22.28073734887344, 114.1743489130023",港灣道,浪漫時代,留戀港灣道,吳浩康,吳倩怡 ,2004
,,中環,飛車,柴灣 北角 銅鑼灣 灣仔 中環 金鐘 尖沙咀 油麻地 旺角 太子 九龍塘 沙田 上水 羅湖 深圳 廣州 廈門 台北 福州 南京 上海 北京 中環,羅大佑,林夕,1992
,"22.283239377405238, 114.15452626508106",中環,情流夜中環,-,達明一派,何秀萍,1989
,"22.28181923256004, 114.15856743947064",中環,中環,-,側田,林若寧,2008
,"22.282152734870873, 114.15775065414034",中環,男子組,中環人收工除呔,林海峰、古巨基、鄭中基、梁漢文、蘇永康 ,林海峰    ,2005
,"22.280815, 114.155698",蘭桂坊,蘭桂坊的故事,蘭桂坊一個她 長髮喜歡放下,,,
,"22.281017, 114.155538",蘭桂坊,食煙飲酒講粗口,晚晚銅鑼灣劈上老蘭,林海峰、G.E.M.鄧紫棋,,
,"22.279151371410318, 114.16224068971468",紅棉道,我們的電車上,左邊看 看紅棉道風格 ,C AllStar,,
,"22.277932604831925, 114.16076462250703",紅棉道,初會,二月二日 紅棉道初見,吳雨霏,,
,"22.283461860787785, 114.15822006066688",干諾道,我們的電車上,轉彎 干諾道亦優雅,C AllStar,,
,"22.282276243103148, 114.16176396228747",大會堂,香港香港,大會堂 昔日海港,粉紅A,,
,"22.275152067346813, 114.1770188432469",皇后大道東,皇后大道東,皇后大道西又皇后大道東,羅大佑,,
,"22.274905567224504, 114.17863249857548",皇后大道東,跳跳虎,由皇后大道東跳到廣東道,力臻,,
,"22.28144186698787, 114.1581932773306",置地廣場,櫻花樹下,如有天置地門外 乘電車跨過大海,張敬軒,,
,"22.28166226463124, 114.15799381977678",置地廣場,960,從藍地到置地,,,
,"22.417145176413246, 113.98118440945456",藍地,960,從藍地到置地,,,
,"22.27657241209589, 114.14686231005156",太平山,香港地,太平山頂大帽山頂,,,
,,金鐘,飛車,"柴灣 北角 銅鑼灣 灣仔 中環 金鐘 尖沙咀 油麻地 旺角 太子 九龍塘 沙田 上水 羅湖 深圳 廣州 廈門 台北 福州 南京 上海 北京 中環
",羅大佑,林夕,1992
,"22.279444388187596, 114.16444445631846",金鐘站,給金鐘站地鐵站車廂內的人,金鐘地鐵站車廂內的人,,,
,"22.26983279998348, 114.18417028479027",跑馬地,我們的電車上,途經的跑馬地,C AllStar,,
,"22.277799490037932, 114.2302453689228",筲箕灣,我們的電車上,從筲箕灣到尾,C AllStar,,
,"22.278445448516205, 114.22720075190628",筲箕灣,男子組,筲箕灣施丹大坑碧咸狂打柴,,,
,"22.277589951251514, 114.191957718687",大坑,男子組,筲箕灣施丹大坑碧咸狂打柴,,,
,"22.286600607520768, 114.1521193807158",上環,香港香港,北角 再到上環,粉紅A,,
,"22.287714840227032, 114.14686086266319",皇后街,我們的電車上,看 到達皇后街嗎,,,
,"22.28796440334585, 114.14349894259688",西環,我們的電車上,西環餘味不散,,,
,"22.286863524662063, 114.13995000801137",西環,食煙飲酒講粗口,鼻環脷環襯到落西環,,,
,"22.332892772198395, 114.1624858345426",高登電腦廣場,深水埗,四眼砌機 高登黃金,,,
,"22.331746083085253, 114.162373903725",黃金廣場,深水埗,四眼砌機 高登黃金,,,
,"22.27991103706526, 114.1842959029889",銅鑼灣黃金廣場,黃金時代,黃金廣場內分手 時代門外再聚,,,
,"22.327120050616884, 114.15362190501364",南昌,隨風,佢話我屋企住係柴灣要喺南昌轉站,,,
,"22.332569865501082, 114.16626541544522",南昌街,南昌街王子,你問南昌街有王子出沒嗎？,,,
,"22.305415804342292, 114.16609677566802",柯士甸,隨風,我話去到柯士甸,,,
,"22.30275108491343, 114.18194310659112",紅磡,隨風,去到紅磡出去兜個 round,,,
,,尖沙咀,飛車,柴灣 北角 銅鑼灣 灣仔 中環 金鐘 尖沙咀 油麻地 旺角 太子 九龍塘 沙田 上水 羅湖 深圳 廣州 廈門 台北 福州 南京 上海 北京 中環,羅大佑,林夕,1992
,"22.294582714403358, 114.1684619931212",尖沙咀,尖沙咀Tommy,,,,
,"22.29442703594042, 114.16849564437607",尖沙咀,尖沙咀Susie,尖沙咀 Susie 點止咁簡單,,,
,"22.29413513834739, 114.16848302516146",尖沙咀,我愛香港,,,,
,"22.309487669791718, 114.16891774517005",廣東道,跳跳虎,由皇后大道東跳到廣東道,,,
,"22.293586632817348, 114.16955590661397",鐘樓,香港地,但係個鐘樓仍然係度,,,
,,油麻地,飛車,柴灣 北角 銅鑼灣 灣仔 中環 金鐘 尖沙咀 油麻地 旺角 太子 九龍塘 沙田 上水 羅湖 深圳 廣州 廈門 台北 福州 南京 上海 北京 中環,羅大佑,林夕,1992
,"22.31062747089907, 114.16880008966284",油麻地,油麻地沙士比亞,-,,,
,,旺角,飛車,柴灣 北角 銅鑼灣 灣仔 中環 金鐘 尖沙咀 油麻地 旺角 太子 九龍塘 沙田 上水 羅湖 深圳 廣州 廈門 台北 福州 南京 上海 北京 中環,羅大佑,林夕,1992
,"22.318470219849882, 114.1661700521806",旺角,Good Time,你跟佢響旺角 兜到出沙頭角,Beyond,黃貫中,1999
,"22.316082131328105, 114.16989970791442",旺角,西裝友的心事,介乎旺角於天國之間,,,
,"22.31939047152506, 114.16957375838261",旺角,去吧!旺角揸Fit人!,讓我們佔領旺角!,Shine,,
,"22.315246434506253, 114.17174210696905",家樂,去吧!旺角揸Fit人!,讓我們先攻佔「家樂」!,Shine,,
,"22.316141684187432, 114.17252175299907",好景,去吧!旺角揸Fit人!,直殺入「好景」那天國!,Shine,,
,"22.319937327473056, 114.17118619915179",先達,去吧!旺角揸Fit人!,讓我徒手反轉「先達」!,Shine,,
,"22.31618475885457, 114.17074449162561",信和,去吧!旺角揸Fit人!,十秒後衝擊「信和」!,Shine,,
,"22.31609144081152, 114.17076766490875",兆萬,去吧!旺角揸Fit人!,無聊來「兆萬」報到 GO!,Shine,,
,"22.317545760062405, 114.17062844552909",荷李活,去吧!旺角揸Fit人!,魂遊「荷李活」也好 GO!,Shine,,
,"22.316997587423433, 114.17074373714577",百老匯,去吧!旺角揸Fit人!,避難在「百老匯」也好 去吧!去吧!去吧!,Shine,,
,"22.316423666286283, 114.1701940868322",Chic之堡,去吧!旺角揸Fit人!,集合在「Chic之堡」!,Shine,,
,"22.326671871768603, 114.17237828067685",天光墟,五點鐘去天光墟,-,My Little Airport,,
,"22.32658557326294, 114.17225914191262",深水埗天光墟,深水埗,天光墟 低胸企街一堆,Novel Fergus,,
,"22.322324657054754, 114.18466101745462",天光道,浪漫時代,留戀天光道,,,
,"22.325278424484683, 114.17181181914209",花墟,浪漫時代,留戀花墟內,,,
,"22.29555744584232, 114.17173868786156",中間道,浪漫時代,留戀中間道,,,
,"22.3093561188365, 114.16887310920819",廣東道,浪漫時代,留戀廣東道,,,
,"22.278334114856307, 114.18519293779742",利園,浪漫時代,利園的階級不變改,,,
,"22.220031473341013, 114.2142340090203",赤柱,浪漫時代,曾在赤柱看海不可放開,,,
,"22.21850267678621, 114.2113012609606",赤柱,老派約會之必要,怎知道霎眼 就談到 赤柱了,MC 張天賦,,
,"22.245379438118988, 114.18675568502861",深水灣,山旮旯,深水灣 淺水灣 獅子山,馮允謙,,
,"22.237670133227915, 114.19555119155142",淺水灣,山旮旯,深水灣 淺水灣 獅子山,馮允謙,,
,"22.235568120182574, 114.19755871124893",淺水灣,淺水灣的早晨,淺水灣找到是你,蔡美璞,韋然,1982
,"22.284119381775785, 114.22187192046047",東區走廊,浪漫時代,留戀東廊內,,,
,,九龍塘,飛車,"柴灣 北角 銅鑼灣 灣仔 中環 金鐘 尖沙咀 油麻地 旺角 太子 九龍塘 沙田 上水 羅湖 深圳 廣州 廈門 台北 福州 南京 上海 北京 中環
",羅大佑,林夕,1992
,"22.336771453185982, 114.17632207332389",九龍塘,浪漫九龍塘,我們終於去到了九龍塘,,,
,"22.328933443449564, 114.18912408943226",九龍城,浪漫九龍城,我坐巴士路過九龍城,,,
,"22.329737712743565, 114.1893204515262",九龍城,鄉下仔出城,惡通晒九龍城,,,
,"22.331791148812105, 114.19094651577699",九城寨城,浪漫九龍城,通過寨城講經驗,,,
,"22.32628247503356, 114.19084445647863",宋皇臺,浪漫九龍城,宋皇臺古蹟位置不遠,,,
,"22.330137957647096, 114.19302739998412",富豪酒店,浪漫九龍城,富豪酒店有好光景,,,
,"22.313860893519582, 114.20627707163501",啟德,浪漫九龍城,昨日啟德已變冷清,,,
,"22.331341232181178, 114.20411729426552",啟德,逃學去英國,啟德只離校舍三五分鐘,,,
,"22.33128454110606, 114.19893853526987",啟德,世界中心繼續轉,啟德開到夜晚,,,
,"22.336336051541892, 114.19914124009752",新蒲崗,世界中心繼續轉,立足在新蒲崗,,,
,"22.338570363658214, 114.19905106418224",大有街,大有,大有街的半生,,,
,"22.33434915752815, 114.19749457336799",景福街,大有,向景福街再走,,,
,"22.3134409172544, 114.22567096191794",觀塘,Sorry呢度係香港,無論港島定係觀塘,,,
,"22.342262299337253, 114.13708754886666",荔園,世界中心繼續轉,荔園開到夜晚,,,
,"22.335482337149706, 114.14280205272287",美孚,世界中心繼續轉,坐擁美孚豪宅,,,
,,沙田,飛車,"柴灣 北角 銅鑼灣 灣仔 中環 金鐘 尖沙咀 油麻地 旺角 太子 九龍塘 沙田 上水 羅湖 深圳 廣州 廈門 台北 福州 南京 上海 北京 中環
",羅大佑,林夕,1992
,"22.38240403678955, 114.18686539143738",沙田,出嚟溝女,沙田食完海鮮 兜風到綠野,,,
,"22.38235848643567, 114.1875732561276",沙田,夢到沙田,沙田而家變成點呢吓,黃秀儀 ,韋然,1982
,"22.37304111730654, 114.178331159141",大圍,夢到沙田,那火車飛奔到大圍,黃秀儀 ,韋然,1982
,"22.42467249227383, 114.2304898968654",馬鞍山,夢到沙田,過馬鞍山禾輋到白田  ,黃秀儀 ,韋然,1982
,"22.387351441433754, 114.19508272014956",禾輋,夢到沙田,過馬鞍山禾輋到白田  ,黃秀儀 ,韋然,1982
,"22.33683120429126, 114.16547930324988",白田,夢到沙田,過馬鞍山禾輋到白田  ,黃秀儀 ,韋然,1982
,"22.359649201189605, 114.1800877725815",望夫山,夢到沙田,望夫山旁踏我的足印千多行我心,黃秀儀 ,韋然,1982
,"22.385371255486422, 114.18835392146653",沙田,沙田友,成班呀老友記 話要去沙田,,,
,,羅湖,飛車,柴灣 北角 銅鑼灣 灣仔 中環 金鐘 尖沙咀 油麻地 旺角 太子 九龍塘 沙田 上水 羅湖 深圳 廣州 廈門 台北 福州 南京 上海 北京 中環,羅大佑,林夕,1992
,"22.545470371352224, 114.22195822486765",沙頭角,Good Time,兜到出沙頭角,Beyond,,
,"22.2187766048712, 114.11974218939923",南丫島,南丫島的故事,南丫島我不知你心,龍影霞、黃汝燊,,
,"22.226527741380412, 114.10923259816799",南丫島,四角戀,從東涌坐尾班機南丫島夜看星飛,龍影霞,韋然,1982
,"22.281542457336926, 114.22245366572528",西灣河,四角戀,西灣河咖啡與你北果洲無人便吻死,,,
,"22.266803125894455, 114.34781885628807",北果洲,四角戀,西灣河咖啡與你北果洲無人便吻死,,,
,"22.229323, 113.849331",二澳,世間始終你好,二澳孖崗針山我和你,,,
,"22.235627, 114.206467",孖崗,世間始終你好,二澳孖崗針山我和你,,,
,"22.386780, 114.160543",針山,世間始終你好,二澳孖崗針山我和你,,,
,"22.373728, 114.375449",浪茄灣,世間始終你好,遊玩約定八仙 入浪茄灣,,,
,"22.482852, 114.217330",八仙嶺,世間始終你好,遊玩約定八仙 入浪茄灣,,,
,"22.297451149659036, 114.17851595138048",尖東,尖東奇遇你是誰,看夜了尖東的燈飾多璀璨心著呆,蘇慧倫,勞雙恩,
,"22.229574170567535, 114.2559598686701",石澳,尖東奇遇你是誰,Hi您好！我叫鍾國寶 住石澳,蘇慧倫,勞雙恩,
,"22.29591453871533, 114.17676381251368",尖東,尖東海浪,尖東海邊 又翻滾出波與浪,陳樂敏&黎芷珊,,1984
,"22.296734086345058, 114.17774759795938",尖東海傍,香港地,灣仔海旁尖東海旁,,,
,"22.29969435247104, 114.17801508773498",尖東,It's My Party,尖東我的 灣仔我的 統統我的 統統我想的,,,
,"22.29864699130115, 114.1771604431812",尖東,迪士尼見,由尖東附近 一路上新宿潮流區,,,
,"22.340739888963753, 114.18106242734603",廣播道,廣播道fans殺人事件,-,,,
,"22.29121777781778, 114.2912393049987",清水灣,廣播道fans殺人事件,由清水灣追到隧道口,,,
,"22.245311033966768, 114.18678826456467",深水灣,山旯旮,深水灣 淺水灣 獅子山 你以為定會等,,,
,"22.23666993965777, 114.19617189486506",淺水灣,山旯旮,深水灣 淺水灣 獅子山 你以為定會等,,,
,"22.27598218109887, 114.14580418531429",太平山,太平山下,上太平山 不見不散,黃耀明,林夕,2014
,"22.336622972767774, 114.1872876961836",獅子山,太平山下,經典的獅子山 越望越像夢幻,黃耀明,林夕,2014
,"22.242094, 114.156831",利東,香港仔,東村西村 跑落海怡 會經過大街,,,
,"22.244368, 114.152604",鴨脷洲邨,香港仔,東村西村 跑落海怡 會經過大街,,,
,"22.244030, 114.145324",海怡半島,香港仔,東村西村 跑落海怡 會經過大街,,,
,"22.244204, 114.156064",鴨脷洲大街,香港仔,東村西村 跑落海怡 會經過大街,,,
,"22.245604, 114.159824",鴨脷洲大橋,香港仔,穿過鴨脷洲大橋 掟個彎就到黃竹坑,,,
,"22.248945, 114.168117",黃竹坑,香港仔,穿過鴨脷洲大橋 掟個彎就到黃竹坑,,,
,"22.250360, 114.158397",石排灣,香港仔,唔好誤會 只不過係搬晒上石排灣,,,
,"22.234009, 114.168307",海洋公園,香港仔,而家海洋公園都好少去 唔係我地去,,,
,"22.261436, 114.180240",香港仔隧道,香港仔,咁唔行香港仔隧道 唔通爬過座山,,,
,"22.239931, 114.166235",深灣船廠,香港仔,深灣船廠嗰邊喺樹放火靠嚇,,,
,"22.278070942534544, 114.17665924514962",軒尼詩道,香港仔,如果我想買野 我自然會出軒尼斯道,,,
,"22.38101289996216, 114.15031317775843",麥理浩徑,麥理浩徑,競步來麥理浩 日日行萬里路,陳健義、黃汝燊、陶贊新、黎沅君,韋然,1982
,"22.310962843982203, 114.17108136380375",彌敦道,彌敦道的塵埃,-,鄭子固,韋然,1982
,"22.29779673920934, 114.17212650212461",彌敦道,彌敦道,-,洪卓立,頡臣 ,2010
,"22.3187171214363, 114.16953455366145",彌敦道,我愛香港,不見不散 旺角彌敦道,LMF,LMF,2002
,"22.288285910771414, 114.23708395103705",鯉魚門,鯉魚門的歸帆,煙似在飛 歸返鯉魚門,蔡美璞,韋然,1982
,"22.291580022320915, 114.23911520076805",鯉魚門,死窮撚,鯉魚門食緊龍躉 鯉魚門食緊龍蝦,The Low Mays,,2018
,"22.30513602076638, 114.18671941599152",黃埔,在動物園散步才是正經事,那間紅磡近黃埔的商店,My Little Airport,,
,"22.319004846995007, 114.16770499742248",旺角,josephine's shop,Mong Kok,My Little Airport,,
,"22.33478249752614, 114.16733388400876",白田購物中心,白田購物中心,-,My Little Airport,,
,"22.337752126882467, 114.14078256262925",美孚,"leo, are you still jumping out of the windows in expensive clothes?",Mei Foo,My Little Airport,,
,"22.28647738104994, 114.152386955192",上環,春天在車廂裡,搭巴士由上環到天后,My Little Airport,,
,"22.282704034252113, 114.19157811390696",天后,春天在車廂裡,搭巴士由上環到天后,My Little Airport,,
,"22.336470596165277, 114.13950320202878",美孚,美孚根斯堡與白田珍寶金,我們在嶺南之風、美孚之巔,My Little Airport,,
,"22.336364765849357, 114.16450674165527",白田,美孚根斯堡與白田珍寶金,我們是美孚根斯堡與白田珍寶金,My Little Airport,,
,"22.3345248354008, 114.13929541420738",嶺南之風,美孚根斯堡與白田珍寶金,我們在嶺南之風、美孚之巔,My Little Airport,,
,"22.335051660462618, 114.13722315202918",荔枝角公園,荔枝角公園,-,My Little Airport,,
,"22.28837013098063, 113.94161341667254",東涌,畢業變成失業,見工見到入左去東涌 點知份工要去掘山窿,My Little Airport,,
,"22.301303276882702, 114.17415220438816",諾士佛臺,和陳五msn,或者我們只不過需要間唔中去一次諾士佛臺,My Little Airport,,
,"22.315192733376097, 114.1694745205992",旺角,介乎法國與旺角的詩意,-,My Little Airport,,
,"22.33642260851466, 114.13667825380725",荔枝角網球場,荔枝角網球場宣言,-,My Little Airport,,
,"22.337443558781473, 114.17583315181443",九龍塘,浪漫九龍塘,在城大旁的酒店爆房,My Little Airport,,
,"22.287143196827774, 114.16183507475493",天星碼頭,宅女，上街吧,你錯過了保衞天星碼頭,My Little Airport,,
,"22.278716348593388, 114.15744190371535",禮賓府,宅女，上街吧,你錯過了包圍禮賓府,My Little Airport,,
,"22.30123408746007, 114.17062852921991",九龍公園游泳池,九龍公園游泳池,我喜歡九龍公園游泳池,My Little Airport,,
,"22.30523834510671, 114.25290358767157",調景嶺,迷人的頸巾,每天放工之後 在調景嶺等候,My Little Airport,,
,"22.291721187128328, 114.20263193380012",北角,豬隻在城中逐一消失,昨日在北角 今日在鰂魚涌,My Little Airport,,
,"22.287353263548184, 114.21685915485024",鰂魚涌,豬隻在城中逐一消失,昨日在北角 今日在鰂魚涌,My Little Airport,,
,"22.32518944742862, 114.21701924392232",牛頭角,牛頭角青年,牛頭角都玩厭了 我們還可以去邊？,My Little Airport,,
,"22.316051282116376, 114.17046285920286",信和,去信和賣碟,-,My Little Airport,,
,"22.317517297344207, 114.18831676956256",土瓜灣,土瓜灣情歌,我此刻仍留在土瓜灣 想著未來怎麼辦,My Little Airport,,
,"22.314944948840267, 114.19165859638096",海心公園,海心公園,我是海心公園的一個阿伯,My Little Airport,,
,"22.314731393418572, 114.1926543526597",海心島,海心公園,我俾佢捉咗去個島度留一日一夜,My Little Airport,,
,"22.315269928322355, 114.19093628653326",土瓜灣,海心公園,最近土瓜灣變得很抑壓,My Little Airport,,
,"22.32125314953799, 114.16305711747155",大角咀,麥記最後一夜,那夜經過大角咀 你細訴小時候,My Little Airport,,
,"22.334470450301396, 114.13925708228462",嶺南之風,麥記最後一夜,潛入嶺南之風看不見四周,My Little Airport,,
,"22.31674782940818, 114.18927145757542",落山道,my dear friend ka hei,如今你堅決遠離 落山道亦為你悲,My Little Airport,,
,"22.399453245390703, 114.19203774824504",火炭,火炭麗琪,火炭麗琪 認識她第一星期 她已拚命地叫你收皮,My Little Airport,,
,"22.281520098441227, 114.16211843302622",干諾道中,今夜到干諾道中一起瞓,今夜到干諾道中一起瞓 這是我最可負擔的租金,My Little Airport,,
,"22.310714941396842, 114.16901598285028",百老匯電影中心,某夜電影中心,想過一千遍重遇在電影中心,My Little Airport,,
,"22.315499042584815, 114.17101121187218",登打士街,今夜到干諾道中一起瞓,明天到登打士街那邊瞓 明知半夜或會被嗌起身,My Little Airport,,
,"22.282355777375884, 114.16537214358026",龍和道,今夜到干諾道中一起瞓,還有龍和道站最前的女生,My Little Airport,,
,"22.31437140512326, 114.2227148197729",裕民中心, 一六八,走進裕民中心舊商場,My Little Airport,,
,"22.31559040681746, 114.1880447524348",土瓜灣,阿姆斯特丹夜機,呢幾年我住厭咗土瓜灣,My Little Airport,,
,"22.32664680693753, 114.17471308104356",深水埗,阿姆斯特丹夜機,深水埗有啲拎住籠雀,My Little Airport,,
,"22.32382016475946, 114.18770973864747",九龍城,阿姆斯特丹夜機,有次去到九龍城都未有人落,My Little Airport,,
,"22.309001949606408, 114.17133274237392",油麻地,彌敦道的一晚 good trip,坐到去油麻地 其中一個巴士站,My Little Airport,,
,"22.307773446314474, 114.1714555514239",彌敦道,彌敦道的一晚 good trip,喺彌敦道上面 錫下停下的 纏綿,My Little Airport,,
,"22.316677994100967, 114.18945604635853",土瓜灣,彌敦道的一晚 good trip,喺土瓜灣出發 搭6號C 去朗豪坊睇戲,My Little Airport,,
,"22.318370199749843, 114.16946441320945",朗豪坊,彌敦道的一晚 good trip,喺土瓜灣出發 搭6號C 去朗豪坊睇戲,My Little Airport,,
,"22.31924859446037, 114.16945078954154",彌敦道,吳小姐,罷工嗰日自己一個去彌敦道,My Little Airport,,
,"22.30032013361414, 114.17188311074558",尖沙咀,吳小姐,尖沙咀同其他區已經放咗催淚彈,My Little Airport,,
,"22.31684505300227, 114.17132757670211",豉油街,吳小姐,行到豉油街 經過兩間日本嘢,My Little Airport,,
,"22.3241551787922, 114.16868618033816",太子,吳小姐,有個女仔指住太子方向,My Little Airport,,
,"22.330254454640176, 114.15928093374329",深水埗警署,吳小姐,有人問佢去唔去深水埗警署聲援,My Little Airport,,
,"22.324322274777902, 114.16845610154792",太子,K同學,如果可以重來 到太子午夜時候,My Little Airport,,
