Time (HKT),Latitude,Longitude
Sun 05:09:05 AM,22.3065,114.3314
Sun 05:09:23 AM,22.3237,114.3313
Sun 05:09:39 AM,22.3362,114.3226
Sun 05:09:56 AM,22.3429,114.3067
Sun 05:10:13 AM,22.3395,114.2913
Sun 05:10:32 AM,22.3238,114.2831
Sun 05:10:51 AM,22.3081,114.2885
Sun 05:11:10 AM,22.2974,114.3044
Sun 05:11:28 AM,22.2976,114.3234
Sun 05:11:46 AM,22.3066,114.3375
Sun 05:12:03 AM,22.3225,114.345
Sun 05:12:19 AM,22.3374,114.343
Sun 05:12:37 AM,22.3513,114.331
Sun 05:12:54 AM,22.3561,114.3155
Sun 05:13:10 AM,22.353,114.3001
Sun 05:13:26 AM,22.3424,114.2886
Sun 05:13:42 AM,22.3287,114.2853
Sun 05:13:59 AM,22.3138,114.2911
Sun 05:14:18 AM,22.3036,114.3068
Sun 05:14:35 AM,22.3035,114.3243
Sun 05:14:51 AM,22.3113,114.3381
Sun 05:15:09 AM,22.3265,114.3465
Sun 05:15:26 AM,22.344,114.3443
Sun 05:15:44 AM,22.3565,114.3334
Sun 05:16:00 AM,22.3616,114.3181
Sun 05:16:18 AM,22.3572,114.2999
Sun 05:16:40 AM,22.3427,114.2879
Sun 05:16:58 AM,22.3269,114.2815
Sun 05:17:14 AM,22.3121,114.2768
Sun 05:17:41 AM,22.2881,114.276
Sun 05:18:14 AM,22.2581,114.2778
Sun 05:18:42 AM,22.234,114.2792
Sun 05:18:58 AM,22.2168,114.2802
Sun 05:19:14 AM,22.2029,114.2811
Sun 05:19:37 AM,22.1813,114.2825
Sun 05:19:55 AM,22.1683,114.2921
Sun 05:20:13 AM,22.1663,114.3095
Sun 05:20:30 AM,22.1767,114.3229
Sun 05:20:48 AM,22.1935,114.3315
Sun 05:21:07 AM,22.21,114.3375
Sun 05:21:26 AM,22.2283,114.3373
Sun 05:21:42 AM,22.2411,114.3282
Sun 05:22:01 AM,22.2476,114.3092
Sun 05:22:17 AM,22.2419,114.2964
Sun 05:22:33 AM,22.2286,114.2902
Sun 05:22:49 AM,22.2134,114.2878
Sun 05:23:06 AM,22.1977,114.2879
Sun 05:23:22 AM,22.1861,114.2964
Sun 05:23:42 AM,22.1777,114.3131
Sun 05:24:02 AM,22.1836,114.3334
Sun 05:24:20 AM,22.1976,114.3413
Sun 05:24:36 AM,22.2139,114.3415
Sun 05:24:52 AM,22.2295,114.3377
Sun 05:25:08 AM,22.2436,114.3288
Sun 05:25:25 AM,22.2532,114.3161
Sun 05:25:41 AM,22.2577,114.3004
Sun 05:25:57 AM,22.2562,114.2845
Sun 05:26:14 AM,22.2489,114.2707
Sun 05:26:31 AM,22.2354,114.2606
Sun 05:26:48 AM,22.2206,114.2583
Sun 05:27:05 AM,22.206,114.2632
Sun 05:27:22 AM,22.1941,114.2759
Sun 05:27:42 AM,22.1894,114.2955
Sun 05:28:02 AM,22.1931,114.3153
Sun 05:28:21 AM,22.2055,114.3272
Sun 05:28:39 AM,22.2225,114.3317
Sun 05:28:56 AM,22.2386,114.3272
Sun 05:29:13 AM,22.2507,114.3155
Sun 05:29:29 AM,22.2562,114.2997
Sun 05:29:48 AM,22.2541,114.2811
Sun 05:30:08 AM,22.2433,114.2659
Sun 05:30:24 AM,22.2289,114.259
Sun 05:30:41 AM,22.215,114.2595
Sun 05:30:59 AM,22.2007,114.2675
Sun 05:31:19 AM,22.1904,114.2855
Sun 05:31:37 AM,22.1899,114.3042
Sun 05:31:53 AM,22.1945,114.3176
Sun 05:32:09 AM,22.2083,114.3287
Sun 05:32:28 AM,22.2264,114.3314
Sun 05:32:44 AM,22.2404,114.3261
Sun 05:33:02 AM,22.2521,114.3131
Sun 05:33:19 AM,22.2566,114.2952
Sun 05:33:36 AM,22.2538,114.2803
Sun 05:33:52 AM,22.2454,114.2678
Sun 05:34:10 AM,22.2307,114.2594
Sun 05:34:27 AM,22.2157,114.2593
Sun 05:34:44 AM,22.2011,114.2671
Sun 05:35:02 AM,22.1916,114.2816
Sun 05:35:25 AM,22.1901,114.3055
Sun 05:35:42 AM,22.1971,114.3205
Sun 05:36:00 AM,22.212,114.33
Sun 05:36:18 AM,22.2287,114.3309
Sun 05:36:36 AM,22.2441,114.3232
Sun 05:36:55 AM,22.255,114.3057
Sun 05:37:12 AM,22.256,114.2897
Sun 05:37:28 AM,22.2478,114.2775
Sun 05:37:45 AM,22.2333,114.275
Sun 05:38:01 AM,22.2206,114.2857
Sun 05:38:20 AM,22.2193,114.3031
Sun 05:38:39 AM,22.2298,114.3196
Sun 05:38:55 AM,22.2429,114.3282
Sun 05:39:11 AM,22.258,114.3309
Sun 05:39:28 AM,22.2738,114.327
Sun 05:39:46 AM,22.2875,114.3157
Sun 05:40:04 AM,22.294,114.2992
Sun 05:40:24 AM,22.2885,114.2804
Sun 05:40:42 AM,22.2744,114.2712
Sun 05:41:00 AM,22.2583,114.2735
Sun 05:41:17 AM,22.2473,114.2834
Sun 05:41:45 AM,22.2352,114.3102
Sun 05:42:04 AM,22.2334,114.3292
Sun 05:42:21 AM,22.2437,114.3423
Sun 05:42:39 AM,22.2601,114.3437
Sun 05:42:56 AM,22.2723,114.3319
Sun 05:43:16 AM,22.2715,114.3122
Sun 05:43:33 AM,22.2588,114.3021
Sun 05:43:52 AM,22.2426,114.3018
Sun 05:44:10 AM,22.2255,114.3073
Sun 05:44:30 AM,22.2192,114.3236
Sun 05:44:47 AM,22.226,114.3394
Sun 05:45:06 AM,22.243,114.3452
Sun 05:45:22 AM,22.2596,114.3437
Sun 05:45:40 AM,22.2744,114.3364
Sun 05:45:56 AM,22.2822,114.3218
Sun 05:46:12 AM,22.2807,114.3067
Sun 05:46:31 AM,22.2668,114.2957
Sun 05:46:48 AM,22.2525,114.2995
Sun 05:47:04 AM,22.2449,114.3142
Sun 05:47:22 AM,22.2476,114.331
Sun 05:47:40 AM,22.2599,114.3447
Sun 05:47:57 AM,22.2749,114.3485
Sun 05:48:15 AM,22.2914,114.3406
Sun 05:48:33 AM,22.2964,114.3242
Sun 05:48:49 AM,22.2899,114.3107
Sun 05:49:07 AM,22.2732,114.3067
Sun 05:49:26 AM,22.2599,114.3171
Sun 05:49:44 AM,22.2495,114.3327
Sun 05:50:02 AM,22.245,114.3487
Sun 05:50:18 AM,22.2476,114.3658
Sun 05:50:36 AM,22.2607,114.3772
Sun 05:50:52 AM,22.2755,114.3756
Sun 05:51:08 AM,22.2853,114.3645
Sun 05:51:41 AM,22.2872,114.3303
Sun 05:51:58 AM,22.2865,114.313
Sun 05:52:14 AM,22.2793,114.2991
Sun 05:52:30 AM,22.267,114.2931
Sun 05:52:49 AM,22.2486,114.2933
Sun 05:53:05 AM,22.234,114.2961
Sun 05:53:22 AM,22.2232,114.3082
Sun 05:53:38 AM,22.2223,114.3235
Sun 05:53:56 AM,22.2328,114.3378
Sun 05:54:12 AM,22.2471,114.3405
Sun 05:54:30 AM,22.2645,114.3387
Sun 05:54:47 AM,22.2784,114.3269
Sun 05:55:04 AM,22.2811,114.3108
Sun 05:55:20 AM,22.2743,114.298
Sun 05:55:40 AM,22.2563,114.2931
Sun 05:55:58 AM,22.2398,114.2941
Sun 05:56:14 AM,22.2272,114.3015
Sun 05:56:30 AM,22.2216,114.3158
Sun 05:56:47 AM,22.2268,114.3321
Sun 05:57:04 AM,22.2407,114.3399
Sun 05:57:22 AM,22.259,114.3396
Sun 05:57:43 AM,22.2765,114.3298
Sun 05:58:00 AM,22.2814,114.313
Sun 05:58:17 AM,22.2747,114.2982
Sun 05:58:47 AM,22.2491,114.2933
Sun 05:59:04 AM,22.2337,114.2962
Sun 05:59:23 AM,22.2227,114.3102
Sun 05:59:39 AM,22.2238,114.3266
Sun 05:59:57 AM,22.2363,114.3383
Sun 06:00:14 AM,22.2525,114.3393
Sun 06:00:32 AM,22.2701,114.3351
Sun 06:00:51 AM,22.2806,114.3193
Sun 06:01:09 AM,22.2778,114.3024
Sun 06:01:27 AM,22.2643,114.2932
Sun 06:01:50 AM,22.2435,114.293
Sun 06:02:07 AM,22.2267,114.293
Sun 06:02:25 AM,22.2123,114.3004
Sun 06:02:41 AM,22.2061,114.3152
Sun 06:02:59 AM,22.21,114.3307
Sun 06:03:16 AM,22.2239,114.3407
Sun 06:03:34 AM,22.2419,114.343
Sun 06:03:50 AM,22.2578,114.3413
Sun 06:04:10 AM,22.2741,114.3329
Sun 06:04:28 AM,22.2806,114.3161
Sun 06:04:44 AM,22.2763,114.3019
Sun 06:05:02 AM,22.2623,114.2933
Sun 06:05:20 AM,22.245,114.2936
Sun 06:05:36 AM,22.2307,114.2981
Sun 06:05:53 AM,22.2221,114.3113
Sun 06:06:13 AM,22.2253,114.331
Sun 06:06:29 AM,22.2374,114.3402
Sun 06:06:45 AM,22.2518,114.3409
Sun 06:07:03 AM,22.2707,114.3384
Sun 06:07:20 AM,22.2826,114.3275
Sun 06:07:39 AM,22.2851,114.3092
Sun 06:07:57 AM,22.275,114.2952
Sun 06:08:26 AM,22.2486,114.2933
Sun 06:08:44 AM,22.2334,114.2964
Sun 06:09:04 AM,22.2221,114.3126
Sun 06:09:24 AM,22.227,114.332
Sun 06:09:43 AM,22.2436,114.3401
Sun 06:10:01 AM,22.2603,114.3362
Sun 06:10:18 AM,22.2733,114.3252
Sun 06:10:36 AM,22.2784,114.3084
Sun 06:10:55 AM,22.2717,114.2916
Sun 06:11:11 AM,22.2593,114.2833
Sun 06:11:27 AM,22.2443,114.2834
Sun 06:11:43 AM,22.232,114.2915
Sun 06:12:01 AM,22.2247,114.3079
Sun 06:12:18 AM,22.2223,114.324
Sun 06:12:36 AM,22.2227,114.3419
Sun 06:12:53 AM,22.2318,114.3563
Sun 06:13:17 AM,22.2438,114.3783
Sun 06:13:48 AM,22.2587,114.4056
Sun 06:14:19 AM,22.2753,114.4367
Sun 06:14:37 AM,22.276,114.4545
Sun 06:14:55 AM,22.2638,114.4684
Sun 06:15:13 AM,22.2476,114.4682
Sun 06:15:30 AM,22.2345,114.4533
Sun 06:15:58 AM,22.2245,114.4253
Sun 06:16:29 AM,22.2127,114.3914
Sun 06:16:47 AM,22.2061,114.3711
Sun 06:17:14 AM,22.2075,114.3403
Sun 06:17:31 AM,22.2132,114.3198
Sun 06:17:47 AM,22.2262,114.308
Sun 06:18:13 AM,22.2506,114.296
Sun 06:18:29 AM,22.2688,114.2916
Sun 06:18:46 AM,22.2842,114.2976
Sun 06:19:04 AM,22.294,114.312
Sun 06:19:20 AM,22.2929,114.3325
Sun 06:19:37 AM,22.2806,114.3449
Sun 06:20:05 AM,22.2535,114.3557
Sun 06:20:22 AM,22.2352,114.3577
Sun 06:20:38 AM,22.2211,114.3496
Sun 06:20:56 AM,22.2127,114.3302
Sun 06:21:15 AM,22.2174,114.3111
Sun 06:21:32 AM,22.232,114.2996
Sun 06:21:53 AM,22.2525,114.2916
Sun 06:22:09 AM,22.2672,114.2897
Sun 06:22:27 AM,22.284,114.2985
Sun 06:22:43 AM,22.2911,114.3126
Sun 06:23:01 AM,22.2889,114.3301
Sun 06:23:17 AM,22.2763,114.3422
Sun 06:23:35 AM,22.2602,114.3486
Sun 06:23:51 AM,22.2454,114.3536
Sun 06:24:09 AM,22.2269,114.3499
Sun 06:24:25 AM,22.2165,114.3368
Sun 06:24:41 AM,22.2149,114.3197
Sun 06:24:57 AM,22.2225,114.3055
Sun 06:25:20 AM,22.2447,114.2947
Sun 06:25:36 AM,22.2603,114.2898
Sun 06:25:53 AM,22.2783,114.2937
Sun 06:26:10 AM,22.2892,114.3062
Sun 06:26:28 AM,22.2913,114.3238
Sun 06:26:45 AM,22.2821,114.3389
Sun 06:27:15 AM,22.2545,114.3509
Sun 06:27:35 AM,22.2343,114.3534
Sun 06:27:53 AM,22.2202,114.3436
Sun 06:28:11 AM,22.2144,114.3241
Sun 06:28:28 AM,22.2211,114.3071
Sun 06:28:57 AM,22.2463,114.2941
Sun 06:29:14 AM,22.2629,114.2896
Sun 06:29:30 AM,22.28,114.2948
Sun 06:29:48 AM,22.2905,114.3096
Sun 06:30:04 AM,22.2907,114.3258
Sun 06:30:22 AM,22.2807,114.34
Sun 06:30:43 AM,22.2619,114.3482
Sun 06:31:02 AM,22.2438,114.3541
Sun 06:31:18 AM,22.2275,114.3501
Sun 06:31:36 AM,22.2168,114.3369
Sun 06:31:54 AM,22.216,114.3166
Sun 06:32:11 AM,22.2271,114.3021
Sun 06:32:38 AM,22.2542,114.2911
Sun 06:32:56 AM,22.2709,114.2905
Sun 06:33:12 AM,22.2847,114.2991
Sun 06:33:30 AM,22.2918,114.3175
Sun 06:33:46 AM,22.2883,114.3316
Sun 06:34:05 AM,22.2721,114.3442
Sun 06:34:27 AM,22.251,114.3523
Sun 06:34:47 AM,22.2332,114.3529
Sun 06:35:03 AM,22.2199,114.3424
Sun 06:35:22 AM,22.2148,114.3229
Sun 06:35:38 AM,22.2215,114.3068
Sun 06:35:59 AM,22.2408,114.2961
Sun 06:36:16 AM,22.2578,114.2901
Sun 06:36:33 AM,22.2745,114.2917
Sun 06:36:49 AM,22.287,114.3027
Sun 06:37:06 AM,22.2914,114.3183
Sun 06:37:22 AM,22.2859,114.3344
Sun 06:37:44 AM,22.2677,114.3457
Sun 06:38:02 AM,22.2498,114.3524
Sun 06:38:18 AM,22.2346,114.3532
Sun 06:38:35 AM,22.2199,114.3429
Sun 06:38:53 AM,22.2144,114.3255
Sun 06:39:10 AM,22.2207,114.3076
Sun 06:39:40 AM,22.2487,114.2931
Sun 06:39:58 AM,22.2658,114.2896
Sun 06:40:18 AM,22.2845,114.299
Sun 06:40:35 AM,22.2914,114.315
Sun 06:40:51 AM,22.2885,114.3307
Sun 06:41:08 AM,22.2755,114.3425
Sun 06:41:29 AM,22.2578,114.3493
Sun 06:41:46 AM,22.2404,114.3539
Sun 06:42:03 AM,22.225,114.3482
Sun 06:42:21 AM,22.215,114.3309
Sun 06:42:39 AM,22.2176,114.3126
Sun 06:42:59 AM,22.2329,114.2993
Sun 06:43:20 AM,22.2533,114.2914
Sun 06:43:38 AM,22.2725,114.291
Sun 06:43:55 AM,22.2854,114.3001
Sun 06:44:13 AM,22.2917,114.3186
Sun 06:44:29 AM,22.2873,114.3335
Sun 06:44:51 AM,22.2673,114.3463
Sun 06:45:07 AM,22.2532,114.3517
Sun 06:45:24 AM,22.2372,114.3542
Sun 06:45:40 AM,22.2225,114.3461
Sun 06:45:56 AM,22.2149,114.3301
Sun 06:46:14 AM,22.219,114.3116
Sun 06:46:31 AM,22.2312,114.3002
Sun 06:46:53 AM,22.2533,114.2914
Sun 06:47:09 AM,22.2694,114.2902
Sun 06:47:25 AM,22.2834,114.2979
Sun 06:47:43 AM,22.2915,114.3156
Sun 06:48:00 AM,22.2884,114.3313
Sun 06:48:19 AM,22.2737,114.3436
Sun 06:48:37 AM,22.2572,114.3499
Sun 06:48:53 AM,22.2415,114.3497
Sun 06:49:12 AM,22.2266,114.3366
Sun 06:49:32 AM,22.2238,114.3159
Sun 06:49:50 AM,22.2348,114.2994
Sun 06:50:10 AM,22.2536,114.2913
Sun 06:50:26 AM,22.271,114.2906
Sun 06:50:42 AM,22.2841,114.2991
Sun 06:50:58 AM,22.2904,114.3125
Sun 06:51:15 AM,22.287,114.3316
Sun 06:51:32 AM,22.2763,114.341
Sun 06:51:48 AM,22.2606,114.3474
Sun 06:52:04 AM,22.2451,114.35
Sun 06:52:20 AM,22.2301,114.3424
Sun 06:52:39 AM,22.222,114.3233
Sun 06:52:56 AM,22.2275,114.3054
Sun 06:53:13 AM,22.2399,114.2966
Sun 06:53:32 AM,22.2608,114.2898
Sun 06:53:50 AM,22.2777,114.2937
Sun 06:54:06 AM,22.2881,114.3058
Sun 06:54:25 AM,22.2892,114.3254
Sun 06:54:42 AM,22.279,114.3387
Sun 06:55:01 AM,22.2618,114.3461
Sun 06:55:17 AM,22.2463,114.3495
Sun 06:55:33 AM,22.2308,114.3426
Sun 06:55:50 AM,22.2226,114.3271
Sun 06:56:09 AM,22.2271,114.306
Sun 06:56:29 AM,22.2427,114.2954
Sun 06:56:45 AM,22.2589,114.2899
Sun 06:57:04 AM,22.2777,114.2938
Sun 06:57:23 AM,22.2892,114.3094
Sun 06:57:41 AM,22.2884,114.3272
Sun 06:57:59 AM,22.2756,114.3406
Sun 06:58:19 AM,22.257,114.348
Sun 06:58:36 AM,22.241,114.3487
Sun 06:58:54 AM,22.2262,114.3373
Sun 06:59:10 AM,22.2228,114.3211
Sun 06:59:26 AM,22.2294,114.3036
Sun 06:59:43 AM,22.2426,114.2938
Sun 07:00:01 AM,22.2615,114.2937
Sun 07:00:19 AM,22.2763,114.3041
Sun 07:00:35 AM,22.2825,114.3191
Sun 07:00:52 AM,22.2795,114.3366
Sun 07:01:08 AM,22.2683,114.3478
Sun 07:01:25 AM,22.2525,114.3536
Sun 07:01:41 AM,22.2367,114.351
Sun 07:01:58 AM,22.2242,114.3384
Sun 07:02:15 AM,22.2206,114.3207
Sun 07:02:31 AM,22.226,114.3052
Sun 07:02:49 AM,22.2409,114.2929
Sun 07:03:07 AM,22.2588,114.2878
Sun 07:03:25 AM,22.2775,114.2928
Sun 07:03:41 AM,22.2872,114.3046
Sun 07:03:58 AM,22.2891,114.3231
Sun 07:04:17 AM,22.2799,114.3379
Sun 07:04:38 AM,22.26,114.3471
Sun 07:04:54 AM,22.2449,114.3494
Sun 07:05:11 AM,22.2296,114.3408
Sun 07:05:28 AM,22.2226,114.3236
Sun 07:05:44 AM,22.2255,114.3062
Sun 07:06:03 AM,22.2388,114.292
Sun 07:06:21 AM,22.2557,114.2889
Sun 07:06:38 AM,22.2719,114.2958
Sun 07:06:55 AM,22.2817,114.311
Sun 07:07:11 AM,22.2823,114.3268
Sun 07:07:28 AM,22.2752,114.3406
Sun 07:07:47 AM,22.2572,114.3507
Sun 07:08:03 AM,22.2409,114.3509
Sun 07:08:20 AM,22.2272,114.3406
Sun 07:08:36 AM,22.2214,114.3239
Sun 07:08:52 AM,22.224,114.3061
Sun 07:09:09 AM,22.2348,114.2919
Sun 07:09:25 AM,22.2494,114.2857
Sun 07:09:41 AM,22.2659,114.2874
Sun 07:09:58 AM,22.2801,114.2979
Sun 07:10:14 AM,22.2865,114.3128
Sun 07:10:31 AM,22.2854,114.3286
Sun 07:10:48 AM,22.2752,114.3432
Sun 07:11:04 AM,22.2612,114.35
Sun 07:11:22 AM,22.2435,114.3525
Sun 07:11:38 AM,22.2289,114.3441
Sun 07:11:54 AM,22.2215,114.3291
Sun 07:12:12 AM,22.2242,114.3079
Sun 07:12:31 AM,22.2367,114.2945
Sun 07:12:50 AM,22.2557,114.2875
Sun 07:13:08 AM,22.2732,114.2897
Sun 07:13:24 AM,22.285,114.3
Sun 07:13:42 AM,22.2903,114.3175
Sun 07:14:00 AM,22.2845,114.3352
Sun 07:14:16 AM,22.2715,114.3444
Sun 07:14:32 AM,22.2562,114.3504
Sun 07:14:48 AM,22.2405,114.3502
Sun 07:15:04 AM,22.2272,114.3401
Sun 07:15:22 AM,22.2218,114.3214
Sun 07:15:39 AM,22.2284,114.3045
Sun 07:16:07 AM,22.2537,114.2913
Sun 07:16:23 AM,22.2688,114.2901
Sun 07:16:40 AM,22.2838,114.2993
Sun 07:16:56 AM,22.2902,114.3141
Sun 07:17:12 AM,22.2867,114.3309
Sun 07:17:28 AM,22.2743,114.3415
Sun 07:17:47 AM,22.2569,114.3482
Sun 07:18:04 AM,22.2402,114.3483
Sun 07:18:22 AM,22.2263,114.3365
Sun 07:18:38 AM,22.2225,114.3192
Sun 07:18:54 AM,22.2297,114.3032
Sun 07:19:12 AM,22.2444,114.2949
Sun 07:19:29 AM,22.2625,114.2896
Sun 07:19:48 AM,22.2778,114.2941
Sun 07:20:06 AM,22.2894,114.312
Sun 07:20:22 AM,22.2874,114.3283
Sun 07:20:39 AM,22.2763,114.3399
Sun 07:21:02 AM,22.2547,114.3483
Sun 07:21:19 AM,22.2367,114.3459
Sun 07:21:35 AM,22.2255,114.3336
Sun 07:21:53 AM,22.2236,114.3152
Sun 07:22:12 AM,22.2354,114.2988
Sun 07:22:31 AM,22.2526,114.2916
Sun 07:22:48 AM,22.2703,114.2906
Sun 07:23:06 AM,22.2852,114.3016
Sun 07:23:23 AM,22.2898,114.3179
Sun 07:23:39 AM,22.2848,114.3327
Sun 07:24:06 AM,22.2607,114.3464
Sun 07:24:23 AM,22.2439,114.3487
